timestep,alive_queen1,dead_queen1,food_queen1,health_queen1,presence_queen1
1,50,0,4950,99,0
2,50,0,4900,98,0
3,50,0,4850,97,0
4,50,0,4800,96,0
5,50,0,4750,95,0
6,50,0,4700,94,0
7,50,0,4650,93,0
8,50,0,4600,92,0
9,50,0,4550,91,0
10,51,0,4500,88,1
11,52,0,4449,85,1
12,53,0,4397,82,1
13,54,0,4344,80,1
14,55,0,4290,78,1
15,56,0,4235,75,1
16,57,0,4179,73,1
17,58,0,4122,71,1
18,59,0,4064,68,1
19,60,0,4005,66,1
20,61,0,3945,64,2
21,62,0,3984,64,2
22,63,0,3922,62,1
23,64,0,3859,60,1
24,65,0,3795,58,2
25,66,0,3830,58,2
26,67,0,3764,56,2
27,68,0,3797,55,2
28,69,0,3729,54,3
29,70,0,3860,55,3
30,71,0,3790,53,1
31,72,0,3719,51,1
32,73,0,3647,49,2
33,74,0,3674,49,2
34,75,0,3600,48,4
35,76,0,3825,50,4
36,77,0,3749,48,2
37,78,0,3772,48,3
38,79,0,3794,48,2
39,80,0,3715,46,1
40,81,0,3635,44,5
41,82,0,3954,48,5
42,83,0,3872,46,2
43,84,0,3889,46,2
44,85,0,3805,44,2
45,86,0,3820,44,2
46,87,0,3734,42,2
47,88,0,3747,42,2
48,89,0,3659,41,4
49,90,0,3870,43,4
50,91,0,3780,41,2
51,92,0,3789,41,4
52,93,0,3897,41,3
53,94,0,3804,40,1
54,95,0,3710,39,2
55,96,0,3715,38,3
56,97,0,3719,38,5
57,98,0,3922,40,4
58,99,0,3824,38,1
59,100,0,3725,37,2
60,101,0,3725,36,4
61,102,0,3824,37,3
62,103,0,3722,36,1
63,104,0,3619,34,2
64,105,0,3615,34,4
65,106,0,3710,35,4
66,107,0,3704,34,6
67,108,0,3997,37,6
68,109,0,3989,36,3
69,110,0,3980,36,3
70,111,0,3970,35,5
71,112,0,4159,37,4
72,113,0,4047,35,2
73,114,0,4034,35,3
74,115,0,4020,34,2
75,116,0,3905,33,3
76,117,0,3989,34,4
77,118,0,3972,33,4
78,119,0,4054,34,3
79,120,0,3935,32,1
80,121,0,3815,31,3
81,122,0,3894,31,5
82,123,0,3972,32,6
83,124,0,4149,33,4
84,125,0,4025,32,1
85,126,0,3900,30,2
86,127,0,3874,30,3
87,128,0,3847,30,3
88,129,0,3819,29,4
89,130,0,3890,29,4
90,131,0,3860,29,5
91,132,0,4029,30,5
92,133,0,3997,30,2
93,134,0,3864,28,2
94,135,0,3830,28,4
95,136,0,3895,28,5
96,137,0,3959,28,4
97,138,0,3922,28,2
98,139,0,3784,27,3
99,140,0,3845,27,7
100,141,0,4105,29,5
101,142,0,3964,27,3
102,143,0,4022,28,3
103,144,0,3879,26,2
104,144,0,3835,26,2
105,144,0,3791,26,2
106,144,0,3747,26,2
107,144,0,3703,25,2
108,144,0,3659,25,2
109,144,0,3615,25,3
110,144,0,3671,25,3
111,144,0,3627,25,1
112,144,0,3483,24,1
113,144,0,3439,23,2
114,144,0,3395,23,3
115,144,0,3451,23,3
116,144,0,3407,23,1
117,144,0,3263,22,2
118,144,0,3319,23,2
119,144,0,3175,22,2
120,144,0,3231,22,4
121,144,0,3287,22,6
122,144,0,3543,24,4
123,144,0,3399,23,2
