timestep,alive_queen1,dead_queen1,food_queen1,health_queen1,presence_queen1
1,50,0,4950,99,49
2,50,0,4900,98,48
3,50,0,4850,97,47
4,50,0,4800,96,46
5,50,0,4750,95,45
6,50,0,4700,94,44
7,50,0,4650,93,43
8,50,0,4600,92,42
9,50,0,4550,91,41
10,50,0,4500,90,40
11,50,0,4450,89,39
12,50,0,4400,88,38
13,50,0,4350,87,37
14,50,0,4300,86,36
15,50,0,4250,85,35
16,50,0,4200,84,34
17,50,0,4150,83,33
18,50,0,4100,82,32
19,50,0,4050,81,31
20,50,0,4000,80,30
21,50,0,3950,79,29
22,50,0,3900,78,28
23,50,0,3850,77,27
24,50,0,3800,76,26
25,50,0,3750,75,25
26,50,0,3700,74,24
27,50,0,3650,73,23
28,50,0,3600,72,22
29,50,0,3550,71,21
30,50,0,3500,70,20
31,50,0,3450,69,19
32,50,0,3400,68,18
33,50,0,3350,67,17
34,50,0,3300,66,17
35,50,0,3350,67,17
36,50,0,3300,66,16
37,50,0,3250,65,15
38,50,0,3200,64,14
39,50,0,3150,63,13
40,50,0,3100,62,12
41,50,0,3050,61,11
42,50,0,3000,60,11
43,50,0,3050,61,11
44,50,0,3000,60,10
45,50,0,2950,59,9
46,50,0,2900,58,9
47,50,0,2950,59,9
48,50,0,2900,58,8
49,50,0,2850,57,7
50,50,0,2800,56,7
51,50,0,2850,57,7
52,50,0,2800,56,6
53,50,0,2750,55,5
54,50,0,2700,54,5
55,50,0,2750,55,5
56,50,0,2700,54,4
57,50,0,2650,53,3
58,50,0,2600,52,3
59,50,0,2650,53,4
60,50,0,2700,54,4
61,50,0,2650,53,3
62,50,0,2600,52,2
63,50,0,2550,51,2
64,50,0,2600,52,2
65,50,0,2550,51,2
66,50,0,2600,52,2
67,50,0,2550,51,1
68,50,0,2500,50,0
69,50,0,2450,49,0
70,50,0,2400,48,0
71,50,0,2350,47,0
72,50,0,2300,46,0
73,50,0,2250,45,0
74,50,0,2200,44,1
75,50,0,2250,45,1
76,50,0,2200,44,0
77,50,0,2150,43,0
78,50,0,2100,42,0
79,50,0,2050,41,1
80,50,0,2100,42,1
81,50,0,2050,41,0
82,50,0,2000,40,0
83,50,0,1950,39,0
84,50,0,1900,38,0
85,50,0,1850,37,1
